id_provincia,id_canton,id_distrito,nombre
3,13,1,Upala
3,13,2,"Aguas Claras"
3,13,3,"San José"
3,13,4,Bijagua
3,13,5,Delicias
3,13,6,"Dos Ríos"
3,13,7,Yolillal
3,13,8,Canalete
3,14,1,"Los Chiles"
3,14,2,"Caño Negro"
3,14,3,"El Amparo"
3,14,4,"San Jorge"
3,15,1,"San Rafael"
3,15,2,Buenavista
3,15,3,cote
3,15,4,Katira
3,16,1,"Río Cuarto"
3,16,2,"Santa Rita"
3,16,3,"Santa Isabel"
4,1,1,"  Liberia"
4,1,2,"Cañas Dulces"
4,1,3,Mayorga
4,1,4,Nacascolo
4,1,5,Curubandé
4,2,1,Nicoya
4,2,2,Mansión
4,2,3,"San Antonio"
4,2,4,"Quebrada Honda"
4,2,5,Sámara
4,2,6,Nosara
4,2,7,"Belén de Nosarita"
4,3,1,"Santa Cruz"
4,3,2,Bolsón
4,3,3,"Veintisiete de Abril"
4,3,4,Tempate
4,3,5,Cartagena
4,3,6,Cuajiniquil
4,3,7,Diriá
4,3,8,"Cabo Velas"
4,3,9,Tamarindo
4,4,1,Bagaces
4,4,2,"La Fortuna"
4,4,3,Mogote
4,4,4,"Río Naranjo"
4,5,1,Belén
4,5,2,Filadelfia
4,5,3,Palmira
4,5,4,Sardinal
4,6,1,Bebedero
4,6,2,Cañas
4,6,3,Palmira
4,6,4,Porozal
4,6,5,"San Miguel"
4,7,1,Tilarán
4,7,2,"Quebrada Grande"
4,7,3,Tronadora
4,7,4,"Santa Rosa"
4,7,5,Líbano
4,7,6,"Tierras Morenas"
4,7,7,Arenal
4,7,8,Cabeceras
4,8,1,Carmona
4,8,2,"Santa Rita"
4,8,3,Zapotal
4,8,4,"San Pablo"
4,8,5,Porvenir
4,8,6,Bejuco
4,9,1,"La Cruz"
4,9,2,"La Garita"
4,9,3,"Santa Cecilia"
4,9,4,"Santa Elena"
4,10,1,Hojancha
4,10,2,Hojancha
4,10,3,Huacas
4,10,4,"Monte Romo"
4,10,5,"Puerto Carrillo"
4,10,6,Matambú
5,1,1,Puntarenas
5,1,2,Pitahaya
5,1,3,Chomes
5,1,4,Lepanto
5,1,5,Paquera
5,1,6,Manzanillo
5,1,7,Guacimal
5,1,8,Barranca
5,1,9,"Monte Verde"
5,1,10,"Isla del Coco"
5,1,11,Cóbano
5,1,12,Chacarita
5,1,13,Chira
5,1,14,Acapulco
5,1,15,"El Roble"
5,1,16,Arancibia
5,2,1,"Espíritu Santo"
5,2,2,"San Juan Grande"
5,2,3,Macacona
5,2,4,"San Rafael"
5,2,5,"San Jerónimo"
5,2,6,Caldera
5,3,1,"Buenos Aires"
5,3,2,Volcán
5,3,3,"Potrero Grande"
5,3,4,Boruca
5,3,5,Pilas
5,3,6,Colinas
5,3,7,Chánguena
5,3,8,Biolley
5,3,9,Brunka
5,4,1,Miramar
5,4,2,"La Unión"
5,4,3,"San Isidro"
5,5,1,"Puerto Cortés"
5,5,2,Palmar
5,5,3,Sierpe
5,5,4,"Bahía Ballena"
5,5,5,"Piedras Blancas"
5,5,6,"Bahía Drake"
5,6,1,Quepos
5,6,2,Savegre
5,6,3,Naranjito
5,7,1,Golfito
5,7,2,"Puerto Jiménez"
5,7,3,Guaycará
5,7,4,Pavón
5,8,1,"San Vito"
5,8,2,Sabalito
5,8,3,Aguabuena
5,8,4,Limoncito
5,8,5,Pittier
5,8,6,"Gutiérrez Braun"
